layer,index,s,s_over_s1,log10_s_over_s1
3.0,24.0,0.019731969676345617,0.0008062941314463706,-3.0935065011701783
3.0,25.0,0.01973188699992041,0.0008062907530955244,-3.0935083208562544
3.0,26.0,0.018750614626158225,0.0007661936837561481,-3.1156614325162897
3.0,27.0,0.017828374103332618,0.0007285087930162373,-3.137565201978569
3.0,28.0,0.01682748107587936,0.0006876099781752339,-3.162657829723494
3.0,29.0,0.015615052255593188,0.0006380673193009357,-3.1951334986164954
3.0,30.0,0.015266307995525471,0.0006238168184700281,-3.204942920585185
3.0,31.0,0.015265496050216631,0.0006237836404980207,-3.2049660193425846
3.0,32.0,0.010698972517224771,0.0004371848778728702,-3.3593348686115143
3.0,33.0,0.010698565496244506,0.00043716824604983647,-3.359351390789501
3.0,34.0,0.010467192768482427,0.00042771381876096113,-3.3688467181446784
3.0,35.0,0.010466586492385244,0.0004276890449108482,-3.36887187388558
3.0,36.0,0.008919581325980305,0.0003644748190910704,-3.4383324709332785
3.0,37.0,0.008919457506035981,0.0003644697595204294,-3.438338499769145
3.0,38.0,0.008545054275366242,0.0003491707735278926,-3.456962114985828
3.0,39.0,0.008544843362665536,0.0003491621551448515,-3.456972834561103
3.0,40.0,0.008487882083117033,0.0003468345849036154,-3.4598776029954097
3.0,41.0,0.008340067689472376,0.0003407945453082848,-3.4675073650833617
3.0,42.0,0.007979621895816328,0.0003260658926245237,-3.486694627197281
3.0,43.0,0.007927664758419698,0.000323942803259559,-3.4895316639340557
3.0,44.0,0.007254940556219936,0.0002964537291725535,-3.528043082175568
3.0,45.0,0.006826185415167425,0.0002789337978261901,-3.5544988599895446
3.0,46.0,0.006555085695156797,0.00026785603332185067,-3.572098566917117
3.0,47.0,0.006509103999123859,0.0002659771143759254,-3.5751557300149335
3.0,48.0,0.0060924383126492836,0.0002489511862354488,-3.6038857999999605
3.0,49.0,0.005882213676570399,0.00024036091911381163,-3.6191361439611227
3.0,50.0,0.005528749350410243,0.00022591754541451847,-3.6460500391955755
3.0,51.0,0.005452548654689474,0.0002228038079225417,-3.6520773909416877
3.0,52.0,0.005247856569015009,0.00021443961366621823,-3.6686949838696963
3.0,53.0,0.005247761620926919,0.00021443573386671142,-3.6687028415165694
3.0,54.0,0.005176134551795326,0.00021150888538474055,-3.674671383407111
3.0,55.0,0.0051760449437768885,0.00021150522379288826,-3.674678901875654
3.0,56.0,0.005028053800616183,0.00020545796180162536,-3.6872770245188575
3.0,57.0,0.005027821418697275,0.00020544846613644124,-3.687297096801556
3.0,58.0,0.0049379255404167705,0.00020177511166206868,-3.6951324036809723
3.0,59.0,0.004937819772818886,0.00020177078975225073,-3.695141706125025
3.0,60.0,0.0038398725540883688,0.00015690611513431197,-3.8043601302350187
3.0,61.0,0.0035687330538952764,0.00014582672511928127,-3.8361628771962297
3.0,62.0,0.0035686170867239605,0.00014582198643119253,-3.836176989969625
3.0,63.0,0.003521833060360061,0.00014391028240359793,-3.8419081745720396
3.0,64.0,0.0035217752639345413,0.00014390792070735173,-3.8419153017907948
3.0,65.0,0.0034912912120791673,0.00014266227151384217,-3.8456908652860813
3.0,66.0,0.003491009323090171,0.00014265075287473643,-3.8457259319039903
3.0,67.0,0.0033830435387348146,0.00013823902004975216,-3.859369353485651
3.0,68.0,0.003382891698472183,0.00013823281550379526,-3.8593888462492942
3.0,69.0,0.003340970066937505,0.00013651980022749528,-3.8648043559058505
3.0,70.0,0.003279095414082209,0.00013399145813591419,-3.8729228867298198
3.0,71.0,0.0030924011043410925,0.00012636269482501435,-3.8983811208552566
3.0,72.0,0.0030923766639553616,0.00012636169613406214,-3.898384553258184
3.0,73.0,0.00308772533134298,0.0001261716318753853,-3.8990382798374577
3.0,74.0,0.0028031062403183985,0.00011454143445693774,-3.941037382311989
3.0,75.0,0.0028030857741159665,0.0001145405981603498,-3.9410405532197132
3.0,76.0,0.0025949905235863593,0.00010603734268023299,-3.974541164320421
3.0,77.0,0.0024158860183284042,9.871871641667185e-5,-4.005600500158287
3.0,78.0,0.0022283052347487273,9.105372972486097e-5,-4.040702260020069
3.0,79.0,0.0022281919357761844,9.10491000655741e-5,-4.040724342438932
3.0,80.0,0.002170172673726482,8.8678298200943e-5,-4.052182649894846
3.0,81.0,0.0021700314059617683,8.867252567181797e-5,-4.052210921289269
3.0,82.0,0.0021133617246630945,8.635687081264634e-5,-4.063703102945288
3.0,83.0,0.002059650066073178,8.416208763480592e-5,-4.074883500411918
3.0,84.0,0.0020595404377553353,8.415760796699949e-5,-4.074906617076936
3.0,85.0,0.002041015781011421,8.340064744736205e-5,-4.078830577878746
3.0,86.0,0.002040963719308517,8.339852008520748e-5,-4.078841655891405
3.0,87.0,0.0019810646114492617,8.095090335266772e-5,-4.091778300475897
3.0,88.0,0.0019136323808560819,7.819546572077243e-5,-4.106818429415097
3.0,89.0,0.0019135787484705206,7.819327417687474e-5,-4.106830601332619
3.0,90.0,0.0018112111199608772,7.401029500798045e-5,-4.130707864672067
3.0,91.0,0.0017849732465407891,7.293815453202936e-5,-4.13704522932352
3.0,92.0,0.001784570392680645,7.292169298720679e-5,-4.137143257097879
3.0,93.0,0.0016180923791347512,6.611901451472683e-5,-4.179673628089182
3.0,94.0,0.0013846884345990263,5.6581586988614676e-5,-4.247324875706661
3.0,95.0,0.0013846594246526408,5.658040157479599e-5,-4.2473339744983445
3.0,96.0,0.0013300382938468789,5.434845524890812e-5,-4.264812795393864
