n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,3-8,2,48,no,1.361174e-04,Z_mean,0.2591817793,5.02222427e-03,1.69919634e-13,29556468296.822281,1.70030656e-13,1.70752301e-13,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,3-8,2,48,no,1.361174e-04,Z1,0.5528241271,1.30436497e-03,2.16149811e-03,0.603454,2.09284050e-03,1.08391657e-03,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,3-8,2,48,no,1.361174e-04,Z2,-0.1136137213,9.52286396e-03,2.94200837e-03,3.236858,3.23787313e-03,7.58560739e-03,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,3-8,2,48,no,1.361174e-04,Z3,0.3263197306,1.01822481e-03,4.02912330e-03,0.252716,4.57256418e-03,1.25584310e-02,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,3-8,2,48,no,1.361174e-04,Z4,0.2065606881,5.48196822e-03,3.01853481e-03,1.816102,3.38546432e-03,8.77749555e-03,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,3-8,2,48,no,1.361174e-04,Z5,0.0450521809,1.15420135e-02,2.80422856e-05,411.593180,5.94811341e-05,1.34563828e-03,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,3-8,2,48,no,1.361174e-04,Z6,0.3309519723,2.60140244e-03,1.59964288e-03,1.626240,4.96716239e-04,1.57107969e-02,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,3-8,2,48,no,1.361174e-04,Z7,0.0529617514,9.30438838e-03,5.40759103e-04,17.206161,2.43949594e-04,1.17752484e-02,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,3-8,2,48,no,1.361174e-04,Z8,0.3827838627,5.17392584e-03,3.31187885e-04,15.622328,3.00883669e-04,1.44436950e-04,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
10,3-8,2,48,no,1.361174e-04,Z9,0.0189315908,1.93404853e-04,3.41544741e-03,0.056627,3.33231555e-03,2.11069236e-03,4.144073e+01,false,9.116445e-02,7.687146e-03,1.632747e-06,0.779138,0.310658,2114.1
